request domain: google.com
total requests: 200

A
provider; min; max; mean; median
custom; 79; 143; 88,2388; 89
google; 43; 103; 55,5075; 53
cloudflare; 56; 166; 63,5124; 63
opendns; 56; 199; 67,194; 66
norton; 56; 3036; 77,195; 63
comodo; 43; 186; 57,9353; 56

TXT
provider; min; max; mean; median
custom; 79; 213; 89,3184; 89
google; 43; 183; 60,3582; 59
cloudflare; 56; 166; 63,5829; 63
opendns; 46; 269; 69,6169; 66
norton; 56; 169; 63,2537; 63
comodo; 43; 176; 58,2687; 56

ANY
provider; min; max; mean; median
custom; 79; 199; 92,7512; 93
google; 43; 343; 58,3831; 56
cloudflare; 53; 99; 62,3085; 59
opendns; 43; 233; 56,01; 53
norton; 53; 3639; 80,1194; 59
comodo; 43; 153; 58,3433; 56
