request domain: tecdigital.tec.ac.cr
total requests: 100

A
provider; min; max; mean; median
custom; 79; 143; 86.9208; 86
google; 43; 76; 58.1683; 59
cloudflare; 56; 86; 65.6436; 66
opendns; 43; 203; 55.7129; 53
norton; 56; 69; 61.8515; 63
comodo; 43; 159; 61.3663; 59

TXT
provider; min; max; mean; median
custom; 79; 93; 85.0693; 86
google; 43; 119; 63.703; 63
cloudflare; 56; 149; 67.9307; 66
opendns; 43; 136; 60.3069; 56
norton; 56; 123; 63.2079; 63
comodo; 46; 123; 60.1584; 59

ANY
provider; min; max; mean; median
custom; 76; 126; 89.7525; 89
google; 43; 113; 64.0891; 63
cloudflare; 56; 323; 74.5248; 66
opendns; 43; 139; 56.5743; 53
norton; 53; 319; 64.7228; 63
comodo; 46; 109; 59.604; 56
